date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:28	11595/11595	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:32:25%20GMT	http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De4%26wr_id%3D4%26page%3D0	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/login3442.html	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e4&wr_id=4&page=0)
21:32:29	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.439.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e4&wr_id=2&page=0)
21:32:29	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.43a.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e4&wr_id=2&page=0)
21:32:29	11595/11595	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:32:26%20GMT	http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De4%26wr_id%3D3%26page%3D0	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/login579f.html	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e4&wr_id=3&page=0)
21:32:29	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.43c.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e4&wr_id=1&page=0)
21:32:29	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.43d.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e4&wr_id=1&page=0)
21:32:29	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.43e.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De5%26sop%3Dand%26sst%3Dwr_datetime%26sod%3Dasc%26sfl%3D%26stx%3D%26page%3D1)
21:32:29	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.43f.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De5%26sop%3Dand%26sst%3Dwr_datetime%26sod%3Dasc%26sfl%3D%26stx%3D%26page%3D1)
21:32:29	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.440.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De5%26sop%3Dand%26sst%3Dwr_hit%26sod%3Dasc%26sfl%3D%26stx%3D%26page%3D1)
21:32:29	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.441.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De5%26sop%3Dand%26sst%3Dwr_hit%26sod%3Dasc%26sfl%3D%26stx%3D%26page%3D1)
21:32:29	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.442.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De3%26wr_id%3D1%26sfl%3D%26stx%3D%26sst%3Dwr_datetime%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:29	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.443.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De3%26wr_id%3D1%26sfl%3D%26stx%3D%26sst%3Dwr_datetime%26sod%3Dasc%26sop%3Dand%26page%3D1)
